feature,weight,contribution
num__birth_weight_kg,0.022764999414091932,0.045664509089896214
num__spo2_percent,0.01715401540806032,0.023071397023379916
num__gestational_age_weeks,-0.022467691242703394,-0.018126157373892834
num__bilirubin_mg_dl,-0.0136631090909033,0.013642546817450857
cat__oxygen_support_None,-0.01846335539132627,-0.006215996315079845
num__heart_rate_bpm,0.009090319208015356,0.004302372841870137
cat__delivery_mode_Cesarean,-0.007511311026760827,-0.004006032547605775
cat__oxygen_support_Nasal_Cannula,0.015958295761663115,-0.0036704080251825167
num__respiratory_rate_bpm,0.01739456507026345,0.0035317224744945016
num__temperature_c,0.006934509110861123,0.0031313372817996935
